city,county,population,median_age,pct_under_18,pct_18_to_34,pct_35_to_54,pct_55_to_64,pct_65_plus,pct_male,pct_female,avg_household_size,pct_family_households,pct_married_couple,pct_single_parent,pct_living_alone,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,pct_foreign_born,pct_speak_english_only,veterans_per_1000,net_migration_rate,birth_rate_per_1000,death_rate_per_1000,young_population_pct,senior_population_pct,diversity_index,natural_growth_rate,age_category
Des Moines,Polk,214237,34.2,24.5,25.8,24.2,12.5,13,49.2,50.8,2.42,58.5,42.5,16,32.5,65.8,11.2,14.5,5.8,3.2,12.5,82.5,52,8.5,14.2,8.5,50.3,25.5,0.5290790000000001,5.699999999999999,Middle
Cedar Rapids,Linn,137710,36.5,22.8,22.5,25.5,13.2,15.5,48.8,51.2,2.38,60.2,46.8,13.4,30.5,82.5,7.5,5.2,2.8,2.5,6.8,92.5,58,4.2,12.5,9.2,45.3,28.7,0.30963700000000005,3.3000000000000007,Middle
Davenport,Scott,101724,37.8,23.2,21.8,24.8,13.8,16.4,48.5,51.5,2.35,57.8,41.2,16.6,33.2,75.2,12.5,8.2,2.2,2.4,8.5,88.5,55,2.8,13.8,10.5,45,30.2,0.411087,3.3000000000000007,Middle
Sioux City,Woodbury,85797,35.2,25.8,24.2,23.5,12.2,14.3,49.5,50.5,2.58,62.5,44.5,18,28.5,68.5,5.2,18.5,4.2,4.1,15.2,78.5,48,-2.5,15.8,9.8,50,26.5,0.490401,6,Middle
Iowa City,Johnson,74828,28.5,18.2,42.5,18.8,9.5,11,49.8,50.2,2.18,42.5,35.2,7.3,38.5,78.2,6.8,6.5,8.5,2.5,12.8,85.2,35,12.5,10.2,5.8,60.7,20.5,0.3717769999999999,4.3999999999999995,Young
Waterloo,Black Hawk,67314,36.8,24.2,22.8,23.2,13.5,16.3,48.2,51.8,2.42,56.5,38.5,18,34.5,72.5,15.8,6.2,2.8,3.2,8.5,90.5,52,-4.2,14.5,11.2,47,29.8,0.443759,3.3000000000000007,Middle
Ames,Story,66427,24.2,12.5,52.8,15.2,8.5,11,51.2,48.8,2.12,35.8,28.5,7.3,42.5,82.5,3.2,4.5,8.8,2,10.5,88.5,28,15.8,8.5,4.5,65.3,19.5,0.30818200000000007,4,Young
West Des Moines,Polk,68723,38.5,24.8,18.5,28.5,14.2,14,48.5,51.5,2.52,68.5,55.2,13.3,24.5,82.2,4.5,5.8,6.2,1.8,8.5,90.5,45,18.5,11.5,7.2,43.3,28.2,0.3147589999999999,4.3,Mature
Ankeny,Polk,67355,32.8,28.5,20.2,28.2,12.5,10.6,49.2,50.8,2.68,72.5,62.5,10,18.5,88.5,2.8,4.2,3.5,1.5,5.8,94.5,38,25.2,14.8,5.2,48.7,23.1,0.21277699999999988,9.600000000000001,Middle
Council Bluffs,Pottawattamie,62230,36.2,24.5,22.5,24.2,13.2,15.6,49,51,2.45,58.2,42.8,15.4,32.8,85.2,4.2,8.5,1.2,1.4,5.8,92.5,55,5.2,13.2,9.8,47,28.799999999999997,0.264767,3.3999999999999986,Middle
Dubuque,Dubuque,59667,40.2,20.5,20.8,23.5,14.5,20.7,48.2,51.8,2.28,55.8,45.2,10.6,35.5,92.5,3.5,2.5,1.2,0.8,2.8,96.5,62,2.5,10.5,11.5,41.3,35.2,0.14231699999999992,-1,Mature
Urbandale,Polk,45580,38.2,24.2,17.8,28.8,15.2,14,48.8,51.2,2.48,65.8,54.5,11.3,26.5,85.2,4.8,4.5,4.2,1.8,6.5,92.5,42,12.5,10.8,7.5,42,29.2,0.267679,3.3000000000000007,Mature
Cedar Falls,Black Hawk,40713,28.5,16.8,38.5,20.2,11.5,13,48.5,51.5,2.22,45.2,38.5,6.7,38.5,90.5,3.2,3.5,2.5,0.8,4.2,94.8,32,6.8,9.8,6.2,55.3,24.5,0.178037,3.6000000000000005,Young
Marion,Linn,40359,36.8,25.5,18.2,27.5,14.5,14.3,48.5,51.5,2.52,68.2,56.8,11.4,24.5,92.5,2.5,2.8,1.5,0.7,3.2,96.2,48,8.5,12.2,7.8,43.7,28.8,0.14269199999999993,4.3999999999999995,Middle
Bettendorf,Scott,39102,40.5,23.8,16.5,26.2,15.8,17.7,48.2,51.8,2.42,62.5,52.8,9.7,28.5,88.5,2.8,3.5,4.2,1.5,5.2,93.5,52,6.2,10.2,8.5,40.3,33.5,0.21277699999999988,1.6999999999999993,Mature
Mason City,Cerro Gordo,27088,42.5,21.2,18.5,22.5,14.8,23,47.8,52.2,2.25,52.5,40.2,12.3,38.5,92.8,2.5,3.2,1.2,0.8,2.8,95.5,68,-5.2,9.5,13.5,39.7,37.8,0.13695900000000016,-4,Mature
Marshalltown,Marshall,26486,35.8,24.8,23.5,22.8,13.2,15.7,50.5,49.5,2.55,58.5,40.5,18,32.5,62.5,3.2,28.5,2.8,3.5,22.5,68.5,42,-8.5,16.2,10.8,48.3,28.9,0.5251170000000001,5.399999999999999,Middle
Clinton,Clinton,24462,42.8,21.5,18.2,22.2,15.2,22.9,48.5,51.5,2.28,54.2,38.5,15.7,38.5,88.5,5.2,4.5,1.2,1.1,4.8,94.2,65,-10.2,10.8,14.2,39.7,38.099999999999994,0.21178099999999977,-3.3999999999999986,Mature
Burlington,Des Moines,24505,41.2,22.5,19.8,22.5,14.5,20.7,48.8,51.2,2.32,55.8,40.8,15,36.2,85.5,6.2,5.8,1.5,1.5,5.2,92.5,62,-6.5,11.2,12.8,42.3,35.2,0.261317,-1.6000000000000014,Mature
Fort Dodge,Webster,24264,38.5,23.2,21.5,23.2,13.8,18.3,49.2,50.8,2.38,56.2,42.5,13.7,35.8,85.8,4.5,6.5,2.2,1.5,6.8,91.5,58,-4.8,12.5,11.5,44.7,32.1,0.2568769999999999,1,Mature
