sumlev,state,county,place,cousub,concit,primgeo_flag,funcstat,name,stname,estimatesbase2020,popestimate2020,popestimate2021,popestimate2022,popestimate2023
162,19,000,00190,00000,00000,0,A,Ackley city,Iowa,1599,1595,1579,1558,1538
162,19,000,00235,00000,00000,0,A,Ackworth city,Iowa,117,117,119,118,117
162,19,000,00370,00000,00000,0,A,Adair city,Iowa,794,793,795,790,781
162,19,000,00505,00000,00000,0,A,Adel city,Iowa,6156,6176,6283,6470,6474
162,19,000,00595,00000,00000,0,A,Afton city,Iowa,870,870,867,861,863
162,19,000,00640,00000,00000,0,A,Agency city,Iowa,617,615,619,615,614
162,19,000,00730,00000,00000,0,A,Ainsworth city,Iowa,509,508,510,512,513
162,19,000,00775,00000,00000,0,A,Akron city,Iowa,1554,1550,1548,1541,1542
162,19,000,00865,00000,00000,0,A,Albert City city,Iowa,676,675,671,659,626
162,19,000,00910,00000,00000,0,A,Albia city,Iowa,3716,3725,3713,3678,3661
162,19,000,00955,00000,00000,0,A,Albion city,Iowa,449,449,445,440,441
162,19,000,01000,00000,00000,0,A,Alburnett city,Iowa,673,675,671,666,667
162,19,000,01045,00000,00000,0,A,Alden city,Iowa,763,761,753,745,738
162,19,000,01090,00000,00000,0,A,Alexander city,Iowa,167,167,166,166,163
162,19,000,01135,00000,00000,0,A,Algona city,Iowa,5487,5478,5388,5374,5342
162,19,000,01180,00000,00000,0,A,Alleman city,Iowa,434,433,437,434,434
162,19,000,01270,00000,00000,0,A,Allerton city,Iowa,430,431,430,428,432
162,19,000,01315,00000,00000,0,A,Allison city,Iowa,967,967,963,953,942
162,19,000,01495,00000,00000,0,A,Alta city,Iowa,2088,2086,2080,2040,2018
162,19,000,01540,00000,00000,0,A,Alta Vista city,Iowa,226,226,224,220,217
162,19,000,01585,00000,00000,0,A,Alton city,Iowa,1245,1244,1238,1238,1243
162,19,000,01630,00000,00000,0,A,Altoona city,Iowa,19593,19674,20764,21512,21698
162,19,000,01675,00000,00000,0,A,Alvord city,Iowa,209,209,210,214,215
162,19,000,01855,00000,00000,0,A,Ames city,Iowa,66428,66487,67024,65582,65686
162,19,000,01990,00000,00000,0,A,Anamosa city,Iowa,5445,5451,5512,5654,5704
162,19,000,02080,00000,00000,0,A,Andover city,Iowa,108,108,108,107,107
162,19,000,02125,00000,00000,0,A,Andrew city,Iowa,378,377,378,376,375
162,19,000,02260,00000,00000,0,A,Anita city,Iowa,965,964,960,966,965
162,19,000,02305,00000,00000,0,A,Ankeny city,Iowa,68062,68527,70627,72433,74458
162,19,000,02350,00000,00000,0,A,Anthon city,Iowa,542,541,532,531,531
162,19,000,02395,00000,00000,0,A,Aplington city,Iowa,1112,1111,1107,1096,1089
162,19,000,02485,00000,00000,0,A,Arcadia city,Iowa,525,529,548,565,578
162,19,000,02530,00000,00000,0,A,Archer city,Iowa,116,116,114,115,114
162,19,000,02620,00000,00000,0,A,Aredale city,Iowa,60,60,60,59,59
162,19,000,02755,00000,00000,0,A,Arion city,Iowa,98,98,96,96,95
162,19,000,02800,00000,00000,0,A,Arispe city,Iowa,96,96,95,94,94
162,19,000,02845,00000,00000,0,A,Arlington city,Iowa,422,421,419,420,418
162,19,000,02935,00000,00000,0,A,Armstrong city,Iowa,873,869,871,856,856
162,19,000,03025,00000,00000,0,A,Arnolds Park city,Iowa,1107,1115,1150,1147,1185
